word,count
ficavam,1
sobrancelhas,1
pestanas,1
testas,1
fita,1
largura,1
alegre,1
ordenou,1
povoação,1
haveria,1
ilhargas,1
tábuas,1
cobertas,1
palha,1
razoável,1
altura,1
espaço,1
repartição,1
esteios,1
rede,1
dormiam,1
aquentarem,1
fogos,1
portas,1
pequenas,1
extremidade,1
oposta,1
encontraram,1
alimentos,1
dá,1
resgataram,1
coisinhas,1
tecido,1
assaz,1
belo,1
estas,1
vô,1
lavar,1
roupa,1
ajudavam,1
acarretar,1
metê,1
lutavam,1
fazíamos,1
construíam,1
cortara,1
ferramenta,1
cortam,1
paus,1
pedras,1
cunhas,1
metidas,1
talas,1
fortes,1
conversação,1
estorvavam,1
aldeia,1
mandassem,1
andávamos,1
mata,1
cortar,1
atravessavam,1
essas,1
pombas,1
seixeiras,1
pareceram,1
maiores,1
bastante,1
portugal,1
vários,1
rolas,1
espécies,1
haja,1
cerca,1
volvemos,1
dei,1
feitio,1
ferros,1
canas,1
aparadas,1
conforme,1
enviar,1
despejá,1
podia,1
trezentos,1
ordenara,1
dormissem,1
voltado,1
quererem,1
pretas,1
pegas,1
diferença,1
bico,1
branco,1
rabos,1
recolheu,1
admitiu,1
prol,1
pensar,1
curá,1
ração,1
dormiram,1
folgaram,1
escrever,1
derradeiro,1
toalhas,1
comeu,1
lacão,1
frio,1
arroz,1
metemo,1
grumete,1
armadura,1
porco,1
montês,1
segurar,1
pouca,1
cera,1
ajeitou,1
adereço,1
segurasse,1
contente,1
tivesse,1
jóia,1
aparecer,1
andariam,1
comiam,1
dávamos,1
acostumarem,1
pinturas,1
agradavam,1
acarretavam,1
dessa,1
quanta,1
mil,1
boas,1
vontades,1
mansos,1
seguros,1
descansamos,1
bebendo,1
basto,1
qualidade,1
folhagem,1
calcular,1
sairmos,1
encostada,1
árvore,1
colocada,1
amanhã,1
puséssemos,1
beijássemos,1
acatamento,1
fizessem,1
beijá,1
entendêssemos,1
visto,1
entendem,1
crença,1
aparências,1
aprenderem,1
tenção,1
farão,1
crer,1
praza,1
traga,1
certamente,1
bela,1
simplicidade,1
imprimir,1
facilmente,1
cunho,1
quiserem,1
trazer,1
acrescentar,1
católica,1
cuidar,1
prazerá,1
trabalho,1
lavram,1
boi,1
vaca,1
cabra,1
ovelha,1
animal,1
esteja,1
acostumado,1
dessas,1
frutos,1
deitam,1
rijos,1
nédios,1
somos,1
trigo,1
legumes,1
dançaram,1
bailaram,1
tamboril,1
amigos,1
aprontavam,1
convidáramos,1
porém,1
gomes,1
trazido,1
agasalhados,1
colchões,1
desembarcar,1
acima,1
arvorar,1
marcou,1
cova,1
fincar,1
abrindo,1
abaixo,1
cantavam,1
trazendo,1
procissão,1
oitenta,1
debaixo,1
ajudar,1
passamos,1
colocá,1
tiros,1
besta,1
cento,1
plantada,1
armas,1
divisa,1
pregado,1
armaram,1
cantada,1
erguemos,1
alçaram,1
assentar,1
pusemos,1
sossegados,1
certifico,1
comungando,1
anos,1
conservou,1
juntava,1
ficado,1
falando,1
acenou,1
mostrou,1
dissesse,1
vestimenta,1
alva,1
apóstolos,1
cujo,1
tratando,1
prosseguimento,1
santo,1
virtuoso,1
causou,1
cruzes,1
estanho,1
crucifixos,1
vinda,1
houveram,1
lançassem,1
assentou,1
lançava,1
fio,1
fazendo,1
trouxe,1
gesto,1
honra,1
mourisca,1
destoutras,1
falece,1
cristã,1
mesmos,1
idolatria,1
adoração,1
devagar,1
ande,1
serão,1
tornados,1
convertidos,1
vier,1
deixe,1
clérigo,1
batizar,1
terão,1
conhecimentos,1
moça,1
lembrava,1
cobrir,1
adão,1
pudor,1
ora,1
veja,1
vive,1
convertera,1
ensinarem,1
pertence,1
perante,1
despedimo,1
grumetes,1
fugidos,1
cremos,1
prazendo,1
fazemos,1
barreiras,1
cheia,1
formosa,1
olhos,1
extensa,1
pudemos,1
metal,1
ares,1
frescos,1
temperados,1
d'agora,1
aproveitar,1
fruto,1
salvar,1
principal,1
semente,1
pousada,1
calicute,1
bastava,1
disposição,1
cumprir,1
acrescentamento,1
dou,1
alonguei,1
perdoe,1
vos,1
mo,1
cargo,1
levo,1
serviço,1
for,1
servida,1
peço,1
singular,1
mande,1
tomé,1
jorge,1
osório,1
genro,1
d'ela,1
receberei,1
beijo,1
1500,1
vaz,1
caminha,1
